Autor;Název;Nakladatelství;Žánr;Počet stran;Rok vydání;Vazba;Jazyk
Mayne, A.;Šelma;Kalibr;Thriller;360;2017;Pevná;CZ
Mayne, A.;Hračkář;Kalibr;Thriller;296;2018;Pevná;CZ
Mayne, A.;Teorie vraždy;Kalibr;Thriller;304;2018;Pevná;CZ
Mayne, A.;Temný vzorec;Kalibr;Thriller;304;2019;Pevná;CZ
Mayne, A.;Dívka pod hladinou;Kalibr;Thriller;312;2020;Pevná;CZ
Willingham, S.;Záblesk ve tmě;Kalibr;Thriller;376;2022;Pevná;CZ
Clarke, A. S.;Odpočítávač;Kalibr;Thriller;368;2022;Pevná;CZ
Stevenson, R. L.;The Strange Case of Dr Jekyll and Mr Hyde;Computer Press;Sci-fi;112;2008;Měkká;EN
Coelho, P.;The Zahir;Harper;Romány;350;2006;Měkká;EN
Asimov, i.;I robot;Oxford University Press;Povídky;104;2008;Měkká;EN
King, S.;Mlha;Beta-Dobrovský;Horor;552;2007;Pevná;CZ
Dickens, C.;A Christmas Carol;Oxford University Press;Novela;63;2002;Měkká;EN
Stevenson, R. L.;The suicide club;Garamond;Krimi;101;2001;Měkká;EN
Stevenson, R. L.;Klub sebevrahů;Garamond;Krimi;101;2001;Měkká;CZ
Shetty, J.;Mysli jako mnich;Fortuna Libri;Osobní rozvoj;336;2021;Pevná;CZ
Bowen, W.;Šťastný život;Synergie;Osobní rozvoj;240;2019;Měkká;CZ
Grant, A.;Ještě to promysli;Jan Melvil;Osobní rozvoj;336;2022;Pevná;CZ
Morris, M.;A jde se na to;Anch-books;Osobní rozvoj;368;2014;Měkká;CZ
Pagan, E.;Příležitost - jak si zajistit lepší život;Pragma;Osobní rozvoj;304;2020;Pevná;CZ
Grout, P.;Vděčností k úspěchu;BizBooks;Osobní rozvoj;232;2018;Měkká;CZ
Cam, Y.;Naučte se správně dýchat;Jota;Zdraví a Sport;215;2022;Měkká;CZ
Willingham, S.;A flicker in the dark;Kalibr;Thriller;376;2022;Pevná;EN
Child, L.;Zítra bude po všem;BB art;Thriller;392;2010;Pevná;CZ
Child, L.;Nevracej se;BB art;Thriller;368;2014;Pevná;CZ
Adams, T.;Most sebevrahů;Kalibr;Thriller;280;2022;Pevná;CZ
Campbell, J. W.;Ledové peklo;Fobos;Sci-fi;158;2021;Pevná;CZ
Coates, D.;Kořist;Fobos;Thriller;368;2021;Pevná;CZ
Peterson, J. B.;Řád není všechno;Argo;Osobní rozvoj;376;2021;Měkká;CZ
Burkert, I.;Na sever za půlnočním sluncem;Flétna;Zdraví a Sport;272;2016;Pevná;CZ
Kosatík, P.;Emil Běžec;Universum;Zdraví a Sport;376;2019;Pevná;CZ
