Měsíc;Den v týdnu;Denní doba;Typ;Vzdálenost;Čas;Průměrný ST;Maximální ST;Průměrné tempo;Celkový výstup;Kroky
prosinec;středa;Ráno a dopoledne;easy;5,20;00:30:09;148;163;05:48;32;4 822
prosinec;středa;Ráno a dopoledne;long;21,13;02:29:06;127;161;07:03;117;20 596
prosinec;úterý;Odpoledne;long;21,30;02:21:42;139;170;06:39;152;20 008
prosinec;pondělí;Odpoledne;long;21,46;02:30:00;132;170;06:59;103;20 844
prosinec;neděle;Noc;easy;10,08;01:09:45;130;149;06:55;51;10 282
prosinec;sobota;Ráno a dopoledne;long;21,41;02:40:31;127;158;07:30;352;21 908
prosinec;pátek;Noc;long;21,23;02:45:26;148;191;07:48;122;22 018
prosinec;čtvrtek;Odpoledne;long;21,63;02:30:58;141;173;06:59;206;20 666
prosinec;středa;Odpoledne;long;21,15;02:21:39;133;163;06:42;181;20 052
prosinec;úterý;Odpoledne;long;21,15;02:35:39;130;156;07:22;191;21 024
prosinec;pondělí;Noc;long;22,14;02:27:07;165;202;06:39;169;21 244
prosinec;neděle;Odpoledne;long;21,13;02:45:16;129;169;07:49;142;21 724
prosinec;sobota;Odpoledne;ultra;42,43;04:48:05;137;169;06:47;200;40 294
prosinec;pátek;Odpoledne;long;21,11;02:25:29;133;154;06:54;152;20 752
prosinec;čtvrtek;Odpoledne;long;27,03;02:47:34;151;199;06:12;180;24 568
prosinec;středa;Noc;long;21,12;02:18:51;139;172;06:34;88;20 222
prosinec;úterý;Odpoledne;long;22,22;02:30:00;134;161;06:45;173;21 180
prosinec;pondělí;Odpoledne;long;21,32;02:19:13;131;152;06:32;156;19 856
prosinec;neděle;Odpoledne;long;21,51;02:26:05;131;155;06:47;143;20 718
prosinec;sobota;Odpoledne;ultra;50,01;05:53:59;134;164;07:05;605;48 060
prosinec;pátek;Odpoledne;long;24,30;02:34:25;139;165;06:21;211;22 144
prosinec;čtvrtek;Odpoledne;long;25,10;02:34:04;141;165;06:08;205;22 628
prosinec;středa;Noc;long;30,04;03:17:22;140;171;06:34;110;28 574
prosinec;úterý;Noc;long;25,35;02:45:56;132;156;06:33;133;24 360
prosinec;pondělí;Noc;long;25,20;02:22:53;152;174;05:40;148;22 894
listopad;středa;Odpoledne;easy;6,32;00:37:02;141;155;05:52;37;5 888
listopad;úterý;Odpoledne;easy;5,61;00:32:52;143;159;05:52;31;5 222
listopad;pondělí;Odpoledne;easy;6,25;00:37:09;142;155;05:57;43;5 898
listopad;neděle;Odpoledne;easy;6,46;00:34:34;153;167;05:21;18;5 626
listopad;sobota;Odpoledne;easy;14,28;01:23:20;141;169;05:50;108;12 498
listopad;pátek;Odpoledne;easy;6,07;00:34:41;153;170;05:43;46;5 326
listopad;čtvrtek;Odpoledne;easy;7,02;00:40:03;148;165;05:42;40;6 204
listopad;středa;Odpoledne;easy;6,08;00:34:12;143;155;05:37;34;5 364
listopad;úterý;Noc;easy;5,36;00:30:12;140;154;05:38;22;4 806
listopad;pondělí;Odpoledne;easy;7,01;00:39:49;140;153;05:41;43;6 124
listopad;neděle;Odpoledne;easy;5,28;00:31:23;138;156;05:57;25;4 798
listopad;sobota;Odpoledne;long;25,05;02:39:23;142;180;06:22;268;22 856
listopad;pátek;Odpoledne;easy;5,79;00:31:22;147;166;05:25;40;4 900
listopad;čtvrtek;Odpoledne;easy;5,32;00:28:15;146;156;05:19;22;4 476
listopad;středa;Odpoledne;easy;7,01;00:38:25;148;167;05:29;56;6 054
listopad;úterý;Odpoledne;easy;5,20;00:30:32;137;153;05:52;24;4 670
listopad;pondělí;Odpoledne;easy;5,76;00:33:11;134;148;05:46;31;5 150
listopad;neděle;Odpoledne;long;21,13;02:23:04;138;162;06:46;138;20 186
listopad;sobota;Odpoledne;easy;17,09;01:48:40;138;160;06:22;204;15 858
listopad;pátek;Odpoledne;easy;5,45;00:31:54;139;153;05:51;34;4 994
listopad;čtvrtek;Odpoledne;easy;5,82;00:31:09;146;155;05:21;27;4 948
listopad;středa;Odpoledne;easy;10,46;01:00:57;144;157;05:50;63;9 336
listopad;úterý;Odpoledne;easy;7,20;00:41:28;142;158;05:46;42;6 416
listopad;pondělí;Noc;easy;5,78;00:32:22;145;154;05:36;34;5 330
listopad;neděle;Odpoledne;easy;8,01;00:48:41;141;161;06:05;69;7 426
listopad;sobota;Odpoledne;long;24,20;02:42:17;136;166;06:42;261;23 270
říjen;pátek;Noc;easy;11,01;00:59:48;147;159;05:26;62;9 822
říjen;čtvrtek;Odpoledne;easy;7,37;00:39:02;152;166;05:18;37;6 366
říjen;středa;Noc;easy;5,35;00:30:04;148;164;05:37;26;4 764
říjen;úterý;Odpoledne;long;21,18;02:12:47;142;172;06:16;217;19 176
říjen;neděle;Odpoledne;easy;13,32;01:18:09;148;166;05:52;191;11 626
říjen;sobota;Odpoledne;easy;10,02;00:59:45;146;164;05:58;93;8 860
říjen;čtvrtek;Odpoledne;easy;7,71;00:45:41;145;160;05:56;74;6 838
říjen;pondělí;Odpoledne;easy;10,11;00:59:57;136;159;05:56;86;8 874
říjen;sobota;Odpoledne;easy;16,11;01:42:25;137;167;06:21;91;14 534
říjen;středa;Odpoledne;easy;10,50;00:59:37;143;166;05:41;91;9 304
říjen;úterý;Noc;Testovací;5,39;00:30:02;144;164;05:34;21;4 852
říjen;sobota;Ráno a dopoledne;long;21,10;02:04:08;147;175;05:53;48;18 134
říjen;čtvrtek;Odpoledne;easy;9,51;00:50:59;148;159;05:22;53;8 210
říjen;středa;Odpoledne;tempo;12,27;01:01:10;161;177;04:59;48;9 962
říjen;pondělí;Odpoledne;easy;8,01;00:41:42;150;167;05:12;39;6 844
říjen;sobota;Odpoledne;tempo;11,41;01:00:00;155;177;05:16;70;9 684
říjen;čtvrtek;Odpoledne;easy;8,56;00:45:00;152;166;05:15;52;7 370
říjen;středa;Noc;tempo;17,01;01:35:00;142;167;05:35;87;15 156
září;pondělí;Odpoledne;Intervaly;10,02;00:53:01;153;169;05:17;33;8 752
září;sobota;Odpoledne;tempo;11,25;01:00:00;157;186;05:20;49;9 538
září;čtvrtek;Noc;easy;11,26;01:00:00;152;167;05:20;72;9 594
září;středa;Odpoledne;long;21,31;02:00:00;145;165;05:38;204;18 626
září;pondělí;Odpoledne;tempo;9,71;00:50:00;154;174;05:09;36;8 056
září;sobota;Odpoledne;tempo;10,68;01:00:02;158;180;05:37;33;9 112
září;čtvrtek;Odpoledne;easy;10,58;01:00:00;143;156;05:40;73;9 386
září;středa;Odpoledne;tempo;16,18;01:25:00;147;174;05:15;77;13 778
